hash	source	text
1508e69e	dialogue.cpp [pool]	*big stretch*
9f14c60f	dialogue.cpp [pool]	*deep snooze*
e97f14ee	dialogue.cpp [pool]	*happy chewing*
43f0efe5	strings.cpp [pool]	*hums quietly*
20fcc234	dialogue.cpp [pool]	*small voice* okay
64b6ae49	dialogue.cpp [pool]	*yaaaawn*
0895a529	sim.cpp [sim_return_greeting]	*yawn* ...oh, hi!
5c1a2c34	dialogue.cpp [pool]	...is anyone there?
7e5a7ac0	dialogue.cpp [pool]	...sorry.
bd9bc3a2	dialogue.cpp [dreams]	A tidy monster ate the mess!
2a8cbde8	dialogue.cpp [pool]	AGAIN! Let's go again!
2fa9ad2c	dialogue.cpp [pool]	AN EARTHQUAKE! IN HERE!
1cb8f66d	dialogue.cpp [pool]	Again sometime?
b90be665	strings.cpp [pool]	Again! Again!
e00049de	dialogue.cpp [pool]	Ahh, that's better!
4ea9d917	dialogue.cpp [pool]	All the blood is in my head!
e11e9eef	care.cpp [ui_bubble_say]	All tidy now!
d980d752	dialogue.cpp [pool]	Are you my person?
cd7d33f0	games.cpp [pool]	Aww...
f51cb1f6	evolve.cpp [evo_line]	BEHOLD! I changed!
1e833b2d	dialogue.cpp [pool]	Back again!
e8073f2d	dialogue.cpp [pool]	Bed? Never heard of it.
007e9dce	dialogue.cpp [pool]	Behold: me, awake.
904590cd	dialogue.cpp [pool]	Behold: the smell.
1c0133cb	dialogue.cpp [pool]	Best day ever.
87eb8c18	strings.cpp [pool]	Boop!
4e0006d9	dialogue.cpp [pool]	Burger! Excellent.
63e81a7f	dialogue.cpp [pool]	CAKE! Cake cake cake!
8d91e358	dialogue.cpp [pool]	CAKE. Finally.
62afe515	dialogue.cpp [pool]	Cake! Yesss.
61bc8057	dialogue.cpp [pool]	Cake. Now. Please. CAKE.
1abf73e5	dialogue.cpp [pool]	Can I still see if I try really hard?
6487683f	dialogue.cpp [pool]	Can we play tomorrow?
87c69ff0	dialogue.cpp [pool]	Can you PLEASE hold still?
a6ee6aad	dialogue.cpp [pool]	Can you flip me back?
eb46e789	dialogue.cpp [pool]	Can't. Bed. Too comfy.
cddd5ec7	dialogue.cpp [pool]	Could we tidy that away? Please?
69c9cf46	dialogue.cpp [pool]	Crunchy!
040b27ef	dialogue.cpp [pool]	DARKNESS! At this hour!
a16f1a8a	dialogue.cpp [pool]	Dark! My favourite working conditions.
227cada0	dialogue.cpp [pool]	Did you SEE that?
11c25b4a	dialogue.cpp [pool]	Do you know what time it is?!
9f977c99	dialogue.cpp [pool]	Don't tempt me... no. Sleeping.
fe9854f4	dialogue.cpp [pool]	Eep!
a8ad26fe	dialogue.cpp [pool]	Even I have limits.
cdc521ab	dialogue.cpp [pool]	Everything is exactly where you left it. Probably.
